RESPONSE ID;INTENT NAME;MESSAGE_ID;QUESTION;MESSAGE
0;covid.help.7.hygiene.5.;0;cinco;Não. Não se recomenda a confecção caseira de álcool em gel, já que o procedimento envolve riscos de queimaduras graves e porque não se pode garantir que o produto tenha uma concentração de 70%, o que é indispensável para a eliminação do vírus.
0;covid.help.1.general.3;0;tres;SARS-CoV-2 é o nome dado ao coronavírus causador da pandemia atual.
0;covid.help.5.diagnostic.8.previous;0;oito;NOT TEXT
0;covid.help.10.pregnancy.4.;0;quatro;Se o seu bebê estiver bem, isso não será necessário. Você deve observá-lo e tomar os cuidados para evitar que ele seja contaminado, tais como lavar bem as mãos antes e depois de qualquer cuidado com o seu filho, usar máscara que cubra a boca e o nariz quando amamentar, manter o berço a uma distância idealmente a 2 metros da sua cama.
0;covid.help.3.symptoms.5.;0;cinco;Os principais grupos de risco para a doença causada pelo coronavírus são os idosos (idade acima de 60 anos), pacientes que apresentem hipertensão arterial, doenças cardiovasculares (como insuficiência cardíaca, infarto prévio), diabetes, doenças pulmonares, insuficiência renal crônica, câncer, pacientes transplantados, que fazem uso de medicações imunossupressoras (como azatioprina, ciclofosfamida, metotrexato) ou com cromossomopatias, como Síndrome de Down, além de gestantes.
0;covid.question.treatment.2.interferon;0;posso utilizar o interferon para o tratamento do covid?;Até o momento, não existe tratamento comprovadamente eficaz contra o coronavírus. Não existem evidências científicas suficientes que nos confirme que o interferon seja uma medicação eficaz. Esta medicação ainda está sendo testada e não deve fazer parte do tratamento de pessoas infectadas. Além disso, esta medicação possui muitos efeitos que podem ser perigosos para a saúde. Precisamos aguardar os resultados de novos estudos para avaliar se esta medicação será incorporada ao tratamento da doença.
0;covid.question.behavior.6.home_arrival;0;quando chegar em casa, o que devo fazer?;"É muito importante que se crie uma rotina ao retornar da rua:
Tire os calçados antes de entrar em casa (escolha, se possível, apenas um par de sapatos para ser utilizado quando tiver que sair de casa);
Se possível, lave as mãos com água e sabão, por 20 segundos, na área externa da casa;
Se não puder lavar as mãos antes de entrar, evite tocar nas coisas antes de lavar as mãos;
Não toque crianças, cônjuges ou outras pessoas antes de tirar a roupa e lavar as mãos;
Se possível, tome banho assim que chegar e coloque suas roupas para lavar;
Desinfete celular, chaves e cartões bancários com álcool a 70%;
Mochilas e bolsas de uso diário devem ficar em uma caixa, na área externa da casa ou próximo da porta."
0;covid.help.8.behavior.1.;0;um;Não. Enquanto durar esta situação de emergência, todas as pessoas, incluindo aquelas que estejam saudáveis, devem permanecer em suas casas e sair apenas em situações inevitáveis, como comprar alimentos ou medicamentos. Não visitar os parentes neste momento é uma medida importante de proteção para eles e para você.
0;covid.help.5.diagnostic.1.;0;um;"No Brasil, atualmente a confirmação de casos de COVID-19 está sendo feita de 2 maneiras:

Diagnóstico laboratorial: quando o caso suspeito apresenta resultado positivo no teste molecular (RT-PCR) para COVID-19. 

Diagnóstico clínico-epidemiológico: quando o caso suspeito apresente histórico de contato próximo ou domiciliar com caso confirmado laboratorialmente para COVID-19 E apresente febre OU pelo menos um dos sinais ou sintomas respiratórios, nos últimos 14 dias após o contato, e para o qual não foi possível realizar a investigação laboratorial específica."
0;Default Welcome Intent;0;beleza ?;"Olá!
Você nos contatou porque acha que pode estar com Covid? Quer saber mais sobre a doença? A gente pode te ajudar a ver e te orientar sobre o que fazer. Assim você não precisa sair de casa se não for necessário.

Os termos de uso do serviço estão aqui: https://telessaude.hc.ufmg.br/Termo_de_Uso.pdf

Qual é o seu nome?"
0;Default Welcome Intent;0;beleza ?;Isso seria um bloco 2: Você nos contatou porque acha que pode estar com Covid? Quer saber mais sobre a doença? A gente pode te ajudar a ver e te orientar sobre o que fazer. Assim você não precisa sair de casa se não for necessário.
0;Default Welcome Intent;0;beleza ?;Isso seria um balão com um link: Os termos de uso do serviço estão aqui -->  https://telessaude.hc.ufmg.br/Termo_de_Uso.pdf
0;Default Welcome Intent;0;beleza ?;E esse seria o último balão: Qual o seu nome?
0;Default Welcome Intent;0;beleza ?;NOT TEXT
0;covid.help.6.treatment.4.;0;quatro;Até o presente momento, não existe tratamento comprovadamente eficaz contra o coronavírus. Não existem estudos que nos confirmem que a cloroquina ou a hidroxicloroquina sejam medicações eficazes neste contexto. Estas medicações ainda estão sendo testadas e não devem fazer parte do tratamento de pessoas infectadas. Tais medicações possuem muitos efeitos que podem ser prejudiciais à saúde, incluindo arritmias cardíacas e alterações visuais, que podem ser graves.  Precisamos aguardar os resultados de novos estudos para avaliar se esta medicação será incorporada ao tratamento da doença.
0;covid.help.6.treatment.13.;0;treze;Não. A vacina anual para a gripe não possui qualquer efeito protetor contra o coronavírus. Entretanto, esta vacina possui efeito contra os principais vírus causadores da gripe e deve ser utilizada pelos grupos recomendados.
0;covid.help.2.transmission.4.;0;quatro;Estes dados ainda estão em estudo. Um estudo recente publicado em uma revista respeitada (NEJM) mostrou que em média o vírus permanece por até 3 horas no ar, até 24 horas no papelão e 3 dias no plástico e nos metais.
0;covid.question.behavior.4.cellphones;0;É possível pegar o coronavírus pelo celular?;Sim, o celular é um meio importante de infecção pelo coronavírus e você deve higienizá-lo com frequência. Não se esqueça de remover a capinha de proteção para a higienização completa do aparelho. A capinha também deverá ser higienizada. Se o fabricante permitir, use álcool em gel ou água sanitária diluída em água (diluir 40 mL de água sanitária em 1 litro de água). O aparelho não pode estar carregando na tomada para fazer a higienização.
0;covid.help.6.treatment.6.;0;seis;Em 16/06/2020, a Universidade de Oxford divulgou os resultados preliminares de um estudo denominado RECOVERY, que demonstraram que a administração de dexametasona associou-se à redução da mortalidade em pacientes com COVID-19 sob ventilação mecânica (1 vida salva a cada 8 pacientes tratados) ou requerendo suporte de oxigênio (1 vida salva a cada 25 pacientes tratados). Nos pacientes com COVID-19 que não necessitaram de oxigênio, não houve sinais de recuperação com o uso da medicação. Seu uso deve ser apenas com prescrição médica, para o grupo de pacientes para o qual foram observados benefícios.
0;covid.help.6.treatment.11.;0;onze;A suspensão desses medicamentos pode levar a consequências sérias para a sua saúde. As evidências científicas a respeito da influência dos remédios de pressão alta na infecção por coronavírus são questionáveis, portanto, você não deve parar de usá-los por conta própria, a não ser por orientação médica.
0;covid.help.8.behavior.3.;0;três;Se a saída de casa for inevitável, como por exemplo, para fazer compras de alimentos ou medicações, o ideal é que apenas uma pessoa da sua família saia e preferencialmente seja alguém que não pertença aos grupos de risco. Nos caixas eletrônicos, proteja seu dedo com um lenço descartável ou utilize álcool em gel após tocar qualquer superfície. Higienize o cartão com álcool em gel antes de guardá-lo.
0;covid.help.5.diagnostic.3.;0;três;Para a realização dos testes moleculares (RT-PCR), utiliza-se amostras coletadas das vias respiratórias superiores (swabs de orofaringe e/ou nasofaringe) e/ou inferiores de pacientes com quadro clínico suspeito. Para a realização dos testes sorológicos, coleta-se o sangue do paciente com quadro clínico suspeito.
